operation,run_time_ms
detach_,0.003001599945127964
zero_,0.012908799946308136
detach_,0.002751999907195568
zero_,0.011807052289142661
detach_,0.002662399969995022
zero_,0.012707200646400452
detach_,0.002566399984061718
zero_,0.012624000012874604
detach_,0.0025728000327944756
zero_,0.014577934966742265
detach_,0.002662399969995022
zero_,0.012758399546146392
detach_,0.002969600073993206
zero_,0.012800000607967377
detach_,0.001740800030529499
zero_,0.014828587341160188
detach_,0.002639999985694885
zero_,0.012732799351215362
detach_,0.002627200074493885
zero_,0.012758399546146392
detach_,0.002768000029027462
zero_,0.012771199643611907
to,0.003891199827194214
full,0.019622400403022766
conv2d,2.1185476387007812e-05
leaky_relu,0.12414261975642761
conv2d,0.000649908761178567
__add__,0.002048
batch_norm,0.20214159737586973
leaky_relu,0.06439893424911913
conv2d,0.0004465536896137588
__add__,0.002048
batch_norm,0.1410739633265432
leaky_relu,0.04874999294035167
conv2d,0.000725399454850144
__add__,0.0017023999243974686
batch_norm,0.14738778423714544
leaky_relu,0.05109421220703925
conv2d,2.282557269439077e-05
sigmoid,0.053206400573253626
view,0.02187520042061806
squeeze,0.01504959985613823
binary_cross_entropy,0.12346879839897155
numel,0.0021568000316619872
ones_like,0.024614399671554564
randn,0.0023552000522613524
conv_transpose2d,0.4903219808607269
__add__,0.001740800030529499
batch_norm,0.1477333779280176
relu,0.052092901802346894
conv_transpose2d,2.061789162845844
__add__,0.002049
batch_norm,0.1414070567943408
relu,0.046816295172390665
conv_transpose2d,1.4383108037889039
__add__,0.002048
batch_norm,0.20613620071983338
relu,0.06589941842913724
conv_transpose2d,1.469979838054817
__add__,0.0015359999611973762
batch_norm,0.3656703948974609
relu,0.12444930875478546
conv_transpose2d,0.41679387995290174
tanh,0.043428669419201524
fill_,0.012889599800109864
detach,0.0033792000263929366
conv2d,2.0454220949670395e-05
leaky_relu,0.12341653585926929
conv2d,0.000621574128018209
__add__,0.002048
batch_norm,0.2052433982372284
leaky_relu,0.0649710258191048
conv2d,0.0004550980166244359
__add__,0.002048
batch_norm,0.1407510599948718
leaky_relu,0.04868019940992815
conv2d,0.0007297958806866014
__add__,0.002048
batch_norm,0.14741049973459464
leaky_relu,0.05096650216607828
conv2d,2.308907960371731e-05
sigmoid,0.05058560073375702
view,0.020428800582885744
squeeze,0.014838400483131408
binary_cross_entropy,0.1291263997554779
numel,0.0021407999098300933
ones_like,0.022144000232219695
mul_,0.002049
add_,0.014790399372577668
mul_,0.01945600062608719
addcmul_,0.01610559970140457
sqrt,0.020883199572563172
__truediv__,0.026719999313354493
add_,0.02099200040102005
addcdiv_,0.015974399447441102
mul_,0.018373451625003864
add_,0.01364385137428289
mul_,0.018078736291586624
addcmul_,0.01538785198797231
sqrt,0.019698251281871845
__truediv__,0.02390564576439348
add_,0.022837136016546952
addcdiv_,0.014686419723256515
mul_,0.018806399405002595
add_,0.014572800695896148
mul_,0.020054399967193604
addcmul_,0.01621119976043701
sqrt,0.020304000377655028
__truediv__,0.02396479994058609
add_,0.020582400262355804
addcdiv_,0.016076800227165223
mul_,0.018739199638366698
add_,0.014643199741840363
mul_,0.01892479956150055
addcmul_,0.016179199516773223
sqrt,0.020559999346733093
__truediv__,0.028896000981330872
add_,0.020585599541664123
addcdiv_,0.01791999936103821
mul_,0.016636864457872467
add_,0.01408393509502824
mul_,0.01657315491048828
addcmul_,0.017109239362225
sqrt,0.016731915489169035
__truediv__,0.02173060574012777
add_,0.018022754772586976
