device,run_time_ms
GTX1080Ti,36.63597869873047
P4000,36.690614655110124
P100,17.43286705927327
V100,14.643079227328649
T4,28.23801254369154
RTX2070,20.486336711979874
RTX2080Ti,17.020686322911224
