operation,run_time_ms
detach_,0.003001599945127964
zero_,0.012908799946308136
detach_,0.002751999907195568
zero_,0.016364064195994055
detach_,0.002662399969995022
zero_,0.012707200646400452
detach_,0.002566399984061718
zero_,0.012624000012874604
detach_,0.0025728000327944756
zero_,0.020653950842544122
detach_,0.002662399969995022
zero_,0.012758399546146392
detach_,0.002969600073993206
zero_,0.012800000607967377
detach_,0.001740800030529499
zero_,0.04521015012248291
detach_,0.002639999985694885
zero_,0.012732799351215362
detach_,0.002627200074493885
zero_,0.012758399546146392
detach_,0.002768000029027462
zero_,0.012771199643611907
to,0.003891199827194214
full,0.019622400403022766
conv2d,4.92078836834578e-05
leaky_relu,0.3838552133891213
conv2d,0.0015368433456674094
__add__,0.002048
batch_norm,0.4133969530244054
leaky_relu,0.19655821315706326
conv2d,0.0012206794385050687
__add__,0.002048
batch_norm,0.25044669929791696
leaky_relu,0.11710813834774944
conv2d,0.0021964687896816357
__add__,0.0017023999243974686
batch_norm,0.22637895742719644
leaky_relu,0.07995825442172493
conv2d,4.4828469536366004e-05
sigmoid,0.053206400573253626
view,0.02187520042061806
squeeze,0.01504959985613823
binary_cross_entropy,0.12346879839897155
numel,0.0021568000316619872
ones_like,0.024614399671554564
randn,0.0023552000522613524
conv_transpose2d,0.5650218547715302
__add__,0.001740800030529499
batch_norm,0.2267245511180686
relu,0.08095546061471916
conv_transpose2d,4.80825069346791
__add__,0.002049
batch_norm,0.25077830936340106
relu,0.11659850680067949
conv_transpose2d,3.288525874476988
__add__,0.002048
batch_norm,0.42105601243531454
relu,0.19957770130603186
conv_transpose2d,4.109575033812966
__add__,0.0015359999611973762
batch_norm,0.3656703948974609
relu,0.3842093712615089
conv_transpose2d,0.8907409190932079
tanh,0.09507777116814418
fill_,0.012889599800109864
detach,0.0033792000263929366
conv2d,4.750938364286099e-05
leaky_relu,0.38161012552301254
conv2d,0.00146984025996434
__add__,0.002048
batch_norm,0.4201250509568937
leaky_relu,0.19712882132473553
conv2d,0.001244035833358324
__add__,0.002048
batch_norm,0.2501223125639321
leaky_relu,0.11551785744606202
conv2d,0.0022097809200828412
__add__,0.002048
batch_norm,0.2248826689556952
leaky_relu,0.07982906097845054
conv2d,4.5345986078690036e-05
sigmoid,0.05058560073375702
view,0.020428800582885744
squeeze,0.014838400483131408
binary_cross_entropy,0.1291263997554779
numel,0.0021407999098300933
ones_like,0.022144000232219695
mul_,0.002049
add_,0.014790399372577668
mul_,0.01945600062608719
addcmul_,0.01610559970140457
sqrt,0.020883199572563172
__truediv__,0.026719999313354493
add_,0.02099200040102005
addcdiv_,0.015974399447441102
mul_,0.02293046353185526
add_,0.018200863281134284
mul_,0.024154752167388483
addcmul_,0.019944863894823705
sqrt,0.02425526318872324
__truediv__,0.029934192766165633
add_,0.02891315189234881
addcdiv_,0.022281439568008838
mul_,0.018806399405002595
add_,0.014572800695896148
mul_,0.020054399967193604
addcmul_,0.01621119976043701
sqrt,0.020304000377655028
__truediv__,0.02396479994058609
add_,0.020582400262355804
addcdiv_,0.016076800227165223
mul_,0.018739199638366698
add_,0.014643199741840363
mul_,0.01892479956150055
addcmul_,0.016179199516773223
sqrt,0.020559999346733093
__truediv__,0.028896000981330872
add_,0.020585599541664123
addcdiv_,0.01791999936103821
mul_,0.030260431304396946
add_,0.03990848596949957
mul_,0.03024419063104247
addcmul_,0.05204781405039911
sqrt,0.03496144651888804
__truediv__,0.03995865336753335
add_,0.03169379049314116
