operation,run_time_ms
detach_,0.0030719999223947523
zero_,0.013209599256515502
detach_,0.002579200081527233
zero_,0.012114251648082785
detach_,0.002662399969995022
zero_,0.0130048006772995
detach_,0.002659199945628643
zero_,0.012940800189971924
detach_,0.002764800004661083
zero_,0.011812845332238607
detach_,0.002662399969995022
zero_,0.012880000472068786
detach_,0.002582399919629097
zero_,0.012963199615478515
detach_,0.0017823999747633933
zero_,0.015248470906630581
detach_,0.0026464000344276427
zero_,0.013091200590133667
detach_,0.0025696000084280968
zero_,0.016281600296497344
detach_,0.002627200074493885
zero_,0.012966400384902954
to,0.003824000060558319
full,0.019852800667285918
conv2d,5.26268561923656e-05
leaky_relu,0.1845300930672208
conv2d,0.0008886560100504952
__add__,0.002048
batch_norm,0.296971
leaky_relu,0.09294228416779432
conv2d,0.0006926095921030432
__add__,0.002048
batch_norm,0.1335816431646773
leaky_relu,0.052299657469003544
conv2d,0.001196623770066062
__add__,0.002048
batch_norm,0.14839708656456863
leaky_relu,0.048055552818255756
conv2d,3.144672315067706e-05
sigmoid,0.04013439938426018
view,0.02067200019955635
squeeze,0.01525760069489479
binary_cross_entropy,0.12606080174446105
numel,0.0022175999358296393
ones_like,0.022899200022220612
randn,0.004096
conv_transpose2d,0.4975891566692864
__add__,0.002048
batch_norm,0.14779230933274567
relu,0.04763315556235824
conv_transpose2d,2.734755710069628
__add__,0.002048
batch_norm,0.1346920167958075
relu,0.05221794955383295
conv_transpose2d,2.158289902571042
__add__,0.002048
batch_norm,0.2975167989730835
relu,0.09509713667117728
conv_transpose2d,2.178529427166021
__add__,0.002048
batch_norm,0.545468807220459
relu,0.18579380784844385
conv_transpose2d,0.6344209734771481
tanh,0.045791610927730195
fill_,0.016451199352741242
detach,0.0033183999359607695
conv2d,4.974660736914497e-05
leaky_relu,0.184432400541272
conv2d,0.0008695957157827696
__add__,0.002048
batch_norm,0.2925503969192505
leaky_relu,0.09314408407166394
conv2d,0.0006881187345430513
__add__,0.002048
batch_norm,0.13555606620064609
leaky_relu,0.054205149032885716
conv2d,0.0011963033328364738
__add__,0.002048
batch_norm,0.14872028679039867
leaky_relu,0.049268962353227586
conv2d,3.139965164653345e-05
sigmoid,0.042604800313711166
view,0.02110719978809357
squeeze,0.015363200008869171
binary_cross_entropy,0.1271071970462799
numel,0.0021503999829292296
ones_like,0.022835199534893037
mul_,0.002048
add_,0.01480959951877594
mul_,0.01955839991569519
addcmul_,0.016143999993801117
sqrt,0.02088640034198761
__truediv__,0.02542400062084198
add_,0.021196800470352172
addcdiv_,0.016179199516773223
mul_,0.018366735504328477
add_,0.013650251423015647
mul_,0.018507535086333023
addcmul_,0.01478273503607439
sqrt,0.025435536430536972
__truediv__,0.02767524467191451
add_,0.02000513605898546
